Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Transaction_Amount_log,Satisfaction_Score,Feedback_Comments,Likelihood_to_Recommend
122,833,2023-01-06 01:00:00,3810.0,Investment,8.24564690087386,7.0,Good service,2
123,373,2023-01-06 02:00:00,2488.0,Investment,7.819636302367592,9.0,Good service,2
124,81,2023-01-06 03:00:00,4077.0,Purchase,8.3133619511344,6.0,Very satisfied,6
125,873,2023-01-06 04:00:00,1785.0,Bill Payment,7.487733761436444,7.0,Unsatisfactory,1
126,640,2023-01-06 05:00:00,1976.0,Investment,7.589335823170617,10.0,Good service,8
127,695,2023-01-06 06:00:00,1777.0,Investment,7.48324441607385,9.0,Good service,7
128,755,2023-01-06 07:00:00,3825.0,Investment,8.249575150000199,10.0,Needs improvement,1
129,697,2023-01-06 08:00:00,251.0,Bill Payment,5.529429087511423,10.0,Very satisfied,4
130,732,2023-01-06 09:00:00,4807.0,Bill Payment,8.478036476215044,10.0,Unsatisfactory,1
131,71,2023-01-06 10:00:00,2959.0,Bill Payment,7.992944547318106,4.0,Good service,6
132,969,2023-01-06 11:00:00,4846.0,Loan Payment,8.486115235845377,7.0,Very satisfied,7
133,854,2023-01-06 12:00:00,4886.0,Investment,8.494333897270154,10.0,Excellent,9
134,666,2023-01-06 13:00:00,2266.0,Bill Payment,7.726212650507529,8.0,Good service,6
135,757,2023-01-06 14:00:00,4121.0,Investment,8.324093761450404,9.0,Good service,3
136,652,2023-01-06 15:00:00,3378.0,Loan Payment,8.12533508671429,7.0,Good service,9
137,71,2023-01-06 16:00:00,376.0,Purchase,5.932245187448011,4.0,Good service,6
138,46,2023-01-06 17:00:00,2837.0,Loan Payment,7.950854857719988,7.0,Very satisfied,9
139,47,2023-01-06 18:00:00,1262.0,Bill Payment,7.141245122350491,10.0,Needs improvement,1
140,591,2023-01-06 19:00:00,2497.0,Bill Payment,7.823245690685523,10.0,Good service,5
141,422,2023-01-06 20:00:00,4795.0,Loan Payment,8.475537516147405,10.0,Good service,10
142,149,2023-01-06 21:00:00,3613.0,Investment,8.192570471152173,6.0,Good service,2
143,910,2023-01-06 22:00:00,3531.0,Bill Payment,8.16961956172385,10.0,Needs improvement,7
144,130,2023-01-06 23:00:00,4952.0,Bill Payment,8.507748732588238,8.0,Good service,2
145,456,2023-01-07 00:00:00,4527.0,Loan Payment,8.41803561988302,10.0,Very satisfied,4
146,639,2023-01-07 01:00:00,1653.0,Investment,7.4109518755836366,10.0,Unsatisfactory,4
147,877,2023-01-07 02:00:00,1222.0,Loan Payment,7.109062135687172,10.0,Good service,4
148,631,2023-01-07 03:00:00,4713.0,Loan Payment,8.458292083496076,10.0,Unsatisfactory,2
149,966,2023-01-07 04:00:00,29.0,Investment,3.4011973816621555,7.0,Unsatisfactory,9
150,997,2023-01-07 05:00:00,685.0,Investment,6.530877627725885,10.0,Needs improvement,10
151,869,2023-01-07 06:00:00,4487.0,Purchase,8.409162447202533,9.0,Needs improvement,3
152,505,2023-01-07 07:00:00,618.0,Loan Payment,6.428105272684596,10.0,Very satisfied,7
153,929,2023-01-07 08:00:00,71.0,Investment,4.276666119016055,6.0,Very satisfied,7
154,774,2023-01-07 09:00:00,1275.0,Bill Payment,7.151485463904735,9.0,Good service,3
155,244,2023-01-07 10:00:00,2295.0,Purchase,7.738923757439457,7.0,Unsatisfactory,6
156,474,2023-01-07 11:00:00,1164.0,Loan Payment,7.060476365999801,8.0,Good service,4
157,382,2023-01-07 12:00:00,1638.0,Investment,7.40184157874383,10.0,Unsatisfactory,4
158,103,2023-01-07 13:00:00,1636.0,Purchase,7.400620577371135,9.0,Good service,2
159,489,2023-01-07 14:00:00,3726.0,Purchase,8.223358899479258,9.0,Unsatisfactory,6
160,37,2023-01-07 15:00:00,1452.0,Bill Payment,7.2813856635702825,10.0,Good service,3
161,654,2023-01-07 16:00:00,1663.0,Purchase,7.416979621381154,10.0,Good service,10
162,549,2023-01-07 17:00:00,2512.0,Loan Payment,7.829232537543592,10.0,Needs improvement,7
163,520,2023-01-07 18:00:00,3279.0,Investment,8.09559870137819,7.0,Very satisfied,5
164,743,2023-01-07 19:00:00,291.0,Purchase,5.676753802268282,10.0,Very satisfied,3
165,333,2023-01-07 20:00:00,4991.0,Purchase,8.515591910049263,6.0,Good service,2
166,397,2023-01-07 21:00:00,1034.0,Loan Payment,6.942156705699469,10.0,Needs improvement,4
167,296,2023-01-07 22:00:00,4828.0,Bill Payment,8.482394685873542,6.0,Very satisfied,3
168,107,2023-01-07 23:00:00,3413.0,Bill Payment,8.135639903354386,10.0,Unsatisfactory,6
169,860,2023-01-08 00:00:00,1245.0,Investment,7.1276936993473985,7.0,Very satisfied,10
170,954,2023-01-08 01:00:00,4192.0,Loan Payment,8.341171747170762,10.0,Good service,9
171,530,2023-01-08 02:00:00,4770.0,Bill Payment,8.470311205516108,15.5,Good service,10
172,825,2023-01-08 03:00:00,4967.0,Investment,8.510772623613315,8.0,Good service,10
173,83,2023-01-08 04:00:00,795.0,Investment,6.679599185844383,8.0,Very satisfied,5
174,934,2023-01-08 05:00:00,3327.0,Bill Payment,8.1101268019411,15.5,Good service,4
175,288,2023-01-08 06:00:00,1677.0,Loan Payment,7.425357887027151,10.0,Very satisfied,1
176,982,2023-01-08 07:00:00,3018.0,Purchase,8.012680929706839,9.0,Unsatisfactory,8
177,706,2023-01-08 08:00:00,3204.0,Bill Payment,8.07246736935477,6.0,Good service,4
178,461,2023-01-08 09:00:00,4799.0,Purchase,8.476371196895983,10.0,Good service,9
179,215,2023-01-08 10:00:00,3785.0,Purchase,8.239065331769268,9.0,Unsatisfactory,9
180,281,2023-01-08 11:00:00,2456.0,Loan Payment,7.806696372521179,10.0,Very satisfied,2
181,732,2023-01-08 12:00:00,3800.0,Loan Payment,8.24301946898925,10.0,Unsatisfactory,1
182,954,2023-01-08 13:00:00,543.0,Investment,6.298949246855942,10.0,Good service,9
183,459,2023-01-08 14:00:00,411.0,Loan Payment,6.021023349349527,7.0,Unsatisfactory,2
184,801,2023-01-08 15:00:00,3673.0,Investment,8.20903626577507,8.0,Unsatisfactory,7
185,344,2023-01-08 16:00:00,139.0,Bill Payment,4.941642422609304,10.0,Good service,2
186,194,2023-01-08 17:00:00,2349.0,Purchase,7.762170607138205,3.0,Good service,7
187,158,2023-01-08 18:00:00,4381.0,Loan Payment,8.385260520155413,7.0,Good service,2
188,465,2023-01-08 19:00:00,2969.0,Bill Payment,7.996317231796746,8.0,Unsatisfactory,1
189,104,2023-01-08 20:00:00,1868.0,Investment,7.533158807455563,8.0,Good service,5
190,34,2023-01-08 21:00:00,2983.0,Loan Payment,8.001019961323651,4.0,Good service,8
191,102,2023-01-08 22:00:00,4160.0,Purchase,8.333510708982942,5.0,Unsatisfactory,4
192,639,2023-01-08 23:00:00,3659.0,Bill Payment,8.205218426395412,10.0,Unsatisfactory,4
193,726,2023-01-09 00:00:00,2796.0,Loan Payment,7.936302693201959,9.0,Good service,3
194,325,2023-01-09 01:00:00,3107.0,Loan Payment,8.041734711487537,10.0,Needs improvement,8
195,944,2023-01-09 02:00:00,3522.0,Bill Payment,8.167068178341237,9.0,Unsatisfactory,1
196,808,2023-01-09 03:00:00,4870.0,Investment,8.491054533806542,8.0,Needs improvement,4
197,691,2023-01-09 04:00:00,1230.0,Investment,7.115582126184454,10.0,Good service,2
198,592,2023-01-09 05:00:00,651.0,Loan Payment,6.480044561926653,9.0,Unsatisfactory,5
199,141,2023-01-09 06:00:00,3324.0,Investment,8.109224953089955,8.0,Unsatisfactory,10
200,474,2023-01-09 07:00:00,733.0,Investment,6.598509028614515,8.0,Good service,4
201,31,2023-01-09 08:00:00,4907.0,Bill Payment,8.498621805830801,9.0,Good service,8
202,884,2023-01-09 09:00:00,747.0,Investment,6.617402977974478,10.0,Unsatisfactory,3
203,935,2023-01-09 10:00:00,4863.0,Investment,8.489616423646003,10.0,Good service,6
204,63,2023-01-09 11:00:00,1309.0,Bill Payment,7.177782416195197,8.0,Unsatisfactory,3
205,560,2023-01-09 12:00:00,3490.0,Loan Payment,8.157943507105037,8.0,Needs improvement,9
206,87,2023-01-09 13:00:00,349.0,Loan Payment,5.857933154483459,8.0,Very satisfied,10
207,304,2023-01-09 14:00:00,162.0,Bill Payment,5.093750200806762,10.0,Needs improvement,5
208,61,2023-01-09 15:00:00,1431.0,Purchase,7.266827347520591,7.0,Very satisfied,8
209,396,2023-01-09 16:00:00,3061.0,Bill Payment,8.026823576217629,10.0,Needs improvement,2
210,334,2023-01-09 17:00:00,436.0,Purchase,6.07993319509559,9.0,Good service,9
211,952,2023-01-09 18:00:00,3568.0,Investment,8.18004072349016,9.0,Very satisfied,10
212,786,2023-01-09 19:00:00,1145.0,Loan Payment,7.044032897274685,9.0,Good service,7
213,411,2023-01-09 20:00:00,0.0,Purchase,0.0,6.0,Needs improvement,4
214,284,2023-01-09 21:00:00,3339.0,Purchase,8.113726085970747,10.0,Good service,1
215,466,2023-01-09 22:00:00,959.0,Investment,6.866933284461882,10.0,Very satisfied,9
216,80,2023-01-09 23:00:00,1383.0,Loan Payment,7.232733136177615,10.0,Very satisfied,4
217,692,2023-01-10 00:00:00,966.0,Investment,6.874198495453294,10.0,Unsatisfactory,3
218,784,2023-01-10 01:00:00,1711.0,Loan Payment,7.445417556701687,9.0,Needs improvement,8
219,77,2023-01-10 02:00:00,2951.0,Loan Payment,7.990238185720363,9.0,Good service,5
220,954,2023-01-10 03:00:00,2492.0,Investment,7.821242083523558,10.0,Good service,9
221,733,2023-01-10 04:00:00,1313.0,Purchase,7.1808311990445555,9.0,Very satisfied,8
222,905,2023-01-10 05:00:00,380.0,Bill Payment,5.942799375126701,7.0,Good service,7
223,794,2023-01-10 06:00:00,2990.0,Loan Payment,8.003363058629947,9.0,Good service,9
224,540,2023-01-10 07:00:00,2306.0,Loan Payment,7.7437032581737535,10.0,Unsatisfactory,2
225,361,2023-01-10 08:00:00,4808.0,Bill Payment,8.478244441277663,9.0,Needs improvement,4
226,77,2023-01-10 09:00:00,2135.0,Bill Payment,7.666690200080086,9.0,Good service,5
227,509,2023-01-10 10:00:00,2976.0,Investment,7.998671361015776,10.0,Excellent,1
228,164,2023-01-10 11:00:00,4155.0,Loan Payment,8.332308352219117,9.0,Needs improvement,5
229,9,2023-01-10 12:00:00,2752.0,Investment,7.920446505142607,10.0,Good service,9
230,175,2023-01-10 13:00:00,4031.0,Bill Payment,8.302017809751204,7.0,Good service,7
231,462,2023-01-10 14:00:00,2374.0,Investment,7.772752716468742,10.0,Unsatisfactory,9
232,307,2023-01-10 15:00:00,772.0,Loan Payment,6.650279048587422,10.0,Very satisfied,1
233,588,2023-01-10 16:00:00,4072.0,Purchase,8.312135107648412,9.0,Very satisfied,7
234,245,2023-01-10 17:00:00,1014.0,Purchase,6.922643891475888,9.0,Good service,7
235,122,2023-01-10 18:00:00,3765.0,Loan Payment,8.233768709217097,10.0,Unsatisfactory,4
236,185,2023-01-10 19:00:00,2856.0,Investment,7.957527402230773,10.0,Good service,4
237,32,2023-01-10 20:00:00,359.0,Bill Payment,5.886104031450156,10.0,Needs improvement,4
238,998,2023-01-10 21:00:00,2974.0,Bill Payment,7.99799931797973,8.0,Unsatisfactory,2
239,963,2023-01-10 22:00:00,696.0,Purchase,6.546785410760524,9.0,Very satisfied,8
240,762,2023-01-10 23:00:00,4647.0,Investment,8.444192298531748,4.0,Very satisfied,4
241,569,2023-01-11 00:00:00,3136.0,Bill Payment,8.051022208190679,10.0,Needs improvement,1
242,310,2023-01-11 01:00:00,4466.0,Bill Payment,8.404472321352118,10.0,Needs improvement,1
243,372,2023-01-11 02:00:00,2765.0,Loan Payment,7.925157512224704,8.0,Excellent,9
244,656,2023-01-11 03:00:00,3534.0,Investment,8.170468578330674,10.0,Excellent,3
245,830,2023-01-11 04:00:00,3634.0,Investment,8.198364389967619,8.0,Needs improvement,4
246,596,2023-01-11 05:00:00,2742.0,Bill Payment,7.916807490937603,10.0,Very satisfied,1
247,992,2023-01-11 06:00:00,1703.0,Investment,7.440733707389261,7.0,Needs improvement,2
248,56,2023-01-11 07:00:00,2902.0,Investment,7.97349996402463,7.0,Good service,6
249,791,2023-01-11 08:00:00,3821.0,Investment,8.248529124800218,8.0,Unsatisfactory,1
250,273,2023-01-11 09:00:00,4190.0,Loan Payment,8.340694647925071,10.0,Needs improvement,7
251,464,2023-01-11 10:00:00,694.0,Bill Payment,6.543911845564792,10.0,Needs improvement,9
252,678,2023-01-11 11:00:00,4350.0,Purchase,8.37816098272068,8.0,Needs improvement,2
253,456,2023-01-11 12:00:00,2929.0,Investment,7.982757702011113,10.0,Very satisfied,4
254,979,2023-01-11 13:00:00,0.0,Bill Payment,0.0,10.0,Unsatisfactory,3
255,670,2023-01-11 14:00:00,3293.0,Purchase,8.099857910737585,6.0,Needs improvement,6
256,249,2023-01-11 15:00:00,4701.0,Loan Payment,8.455743229100015,10.0,Needs improvement,7
257,698,2023-01-11 16:00:00,4036.0,Bill Payment,8.30325712085294,10.0,Good service,8
258,994,2023-01-11 17:00:00,1166.0,Loan Payment,7.062191632286556,8.0,Very satisfied,2
259,78,2023-01-11 18:00:00,3071.0,Bill Payment,8.030084094267563,8.0,Good service,2
260,534,2023-01-11 19:00:00,4455.0,Loan Payment,8.40200678160712,6.0,Unsatisfactory,1
261,108,2023-01-11 20:00:00,2339.0,Bill Payment,7.757906208351747,6.0,Good service,5
262,273,2023-01-11 21:00:00,1302.0,Loan Payment,7.172424577124845,10.0,Needs improvement,7
263,764,2023-01-11 22:00:00,1894.0,Purchase,7.546974117516527,8.0,Good service,6
264,15,2023-01-11 23:00:00,1570.0,Bill Payment,7.359467638255621,10.0,Very satisfied,6
265,370,2023-01-12 00:00:00,993.0,Purchase,6.901737206656574,10.0,Very satisfied,1
266,304,2023-01-12 01:00:00,2077.0,Investment,7.639161171659173,10.0,Needs improvement,5
267,672,2023-01-12 02:00:00,1873.0,Purchase,7.535830462798367,8.0,Good service,5
268,205,2023-01-12 03:00:00,1989.0,Bill Payment,7.595889917718538,9.0,Good service,6
269,981,2023-01-12 04:00:00,1746.0,Purchase,7.465655310134056,9.0,Unsatisfactory,1
270,113,2023-01-12 05:00:00,2462.0,Bill Payment,7.809135398120538,10.0,Good service,10
271,680,2023-01-12 06:00:00,1928.0,Loan Payment,7.564757012905729,9.0,Very satisfied,4
272,865,2023-01-12 07:00:00,710.0,Investment,6.566672429803241,8.0,Good service,2
273,253,2023-01-12 08:00:00,0.0,Purchase,0.0,8.0,Needs improvement,3
274,441,2023-01-12 09:00:00,2083.0,Investment,7.642044402873258,9.0,Excellent,2
275,186,2023-01-12 10:00:00,4671.0,Purchase,8.449342524508063,7.0,Needs improvement,3
276,859,2023-01-12 11:00:00,3763.0,Bill Payment,8.23323750070527,9.0,Excellent,4
277,227,2023-01-12 12:00:00,404.0,Purchase,6.003887067106539,10.0,Unsatisfactory,1
278,528,2023-01-12 13:00:00,1966.0,Investment,7.584264818389059,10.0,Very satisfied,9
279,668,2023-01-12 14:00:00,3058.0,Purchase,8.025843344150903,9.0,Good service,3
280,354,2023-01-12 15:00:00,3462.0,Investment,8.149890544402423,9.0,Unsatisfactory,8
281,623,2023-01-12 16:00:00,532.0,Investment,6.278521424165844,8.0,Unsatisfactory,6
282,1,2023-01-12 17:00:00,1572.0,Bill Payment,7.360739903058278,10.0,Very satisfied,9
283,553,2023-01-12 18:00:00,2919.0,Loan Payment,7.979338895262328,10.0,Unsatisfactory,5
284,560,2023-01-12 19:00:00,2859.0,Loan Payment,7.958576903813898,8.0,Needs improvement,9
285,927,2023-01-12 20:00:00,559.0,Purchase,6.327936783729195,3.0,Good service,9
286,420,2023-01-12 21:00:00,0.0,Investment,0.0,10.0,Good service,9
287,620,2023-01-12 22:00:00,842.0,Bill Payment,6.736966958001855,10.0,Good service,8
288,161,2023-01-12 23:00:00,4492.0,Loan Payment,8.41027590907016,9.0,Excellent,5
289,161,2023-01-13 00:00:00,0.0,Bill Payment,0.0,9.0,Excellent,5
