Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Transaction_Type,Transaction_Year,Transaction_Month,Transaction_Day,Transaction_DayOfWeek,Amount_Category
83,669,2023-01-04 10:00:00,57.0,Bill Payment,2023,1,4,2,Small
84,116,2023-01-04 11:00:00,2374.0,Loan Payment,2023,1,4,2,Large
85,435,2023-01-04 12:00:00,2266.0,Loan Payment,2023,1,4,2,Large
86,530,2023-01-04 13:00:00,4682.0,Bill Payment,2023,1,4,2,Large
87,442,2023-01-04 14:00:00,763.0,Loan Payment,2023,1,4,2,Medium
88,172,2023-01-04 15:00:00,2812.0,Bill Payment,2023,1,4,2,Large
89,16,2023-01-04 16:00:00,4659.0,Investment,2023,1,4,2,Large
90,961,2023-01-04 17:00:00,3662.0,Investment,2023,1,4,2,Large
91,752,2023-01-04 18:00:00,412.0,Loan Payment,2023,1,4,2,Small
92,898,2023-01-04 19:00:00,2096.0,Purchase,2023,1,4,2,Large
93,56,2023-01-04 20:00:00,2237.0,Investment,2023,1,4,2,Large
94,591,2023-01-04 21:00:00,3420.0,Loan Payment,2023,1,4,2,Large
95,103,2023-01-04 22:00:00,3000.0,Purchase,2023,1,4,2,Large
96,284,2023-01-04 23:00:00,4653.0,Loan Payment,2023,1,4,2,Large
97,705,2023-01-05 00:00:00,1159.0,Bill Payment,2023,1,5,3,Medium
98,517,2023-01-05 01:00:00,72.0,Loan Payment,2023,1,5,3,Small
99,618,2023-01-05 02:00:00,4949.0,Bill Payment,2023,1,5,3,Large
100,278,2023-01-05 03:00:00,3163.0,Investment,2023,1,5,3,Large
101,885,2023-01-05 04:00:00,1018.0,Investment,2023,1,5,3,Medium
102,612,2023-01-05 05:00:00,2041.0,Loan Payment,2023,1,5,3,Large
103,750,2023-01-05 06:00:00,1332.0,Purchase,2023,1,5,3,Medium
104,269,2023-01-05 07:00:00,2091.0,Loan Payment,2023,1,5,3,Large
105,833,2023-01-05 08:00:00,761.0,Loan Payment,2023,1,5,3,Medium
106,400,2023-01-05 09:00:00,4154.0,Investment,2023,1,5,3,Large
107,503,2023-01-05 10:00:00,667.0,Investment,2023,1,5,3,Medium
108,86,2023-01-05 11:00:00,1670.0,Loan Payment,2023,1,5,3,Large
109,320,2023-01-05 12:00:00,710.0,Investment,2023,1,5,3,Medium
110,32,2023-01-05 13:00:00,1090.0,Bill Payment,2023,1,5,3,Medium
111,336,2023-01-05 14:00:00,2166.0,Loan Payment,2023,1,5,3,Large
112,51,2023-01-05 15:00:00,1550.0,Investment,2023,1,5,3,Large
113,79,2023-01-05 16:00:00,3042.0,Loan Payment,2023,1,5,3,Large
114,698,2023-01-05 17:00:00,1993.0,Investment,2023,1,5,3,Large
115,174,2023-01-05 18:00:00,324.0,Bill Payment,2023,1,5,3,Small
116,948,2023-01-05 19:00:00,3091.0,Bill Payment,2023,1,5,3,Large
117,618,2023-01-05 20:00:00,4743.0,Loan Payment,2023,1,5,3,Large
118,501,2023-01-05 21:00:00,2324.0,Bill Payment,2023,1,5,3,Large
119,575,2023-01-05 22:00:00,2145.0,Bill Payment,2023,1,5,3,Large
120,76,2023-01-05 23:00:00,1659.0,Investment,2023,1,5,3,Large
121,316,2023-01-06 00:00:00,3229.0,Loan Payment,2023,1,6,4,Large
122,833,2023-01-06 01:00:00,3810.0,Investment,2023,1,6,4,Large
123,373,2023-01-06 02:00:00,2488.0,Investment,2023,1,6,4,Large
124,81,2023-01-06 03:00:00,4077.0,Purchase,2023,1,6,4,Large
125,873,2023-01-06 04:00:00,1785.0,Bill Payment,2023,1,6,4,Large
126,640,2023-01-06 05:00:00,1976.0,Investment,2023,1,6,4,Large
127,695,2023-01-06 06:00:00,1777.0,Investment,2023,1,6,4,Large
128,755,2023-01-06 07:00:00,3825.0,Investment,2023,1,6,4,Large
129,697,2023-01-06 08:00:00,251.0,Bill Payment,2023,1,6,4,Small
130,732,2023-01-06 09:00:00,4807.0,Bill Payment,2023,1,6,4,Large
131,71,2023-01-06 10:00:00,2959.0,Bill Payment,2023,1,6,4,Large
132,969,2023-01-06 11:00:00,4846.0,Loan Payment,2023,1,6,4,Large
133,854,2023-01-06 12:00:00,4886.0,Investment,2023,1,6,4,Large
134,666,2023-01-06 13:00:00,2266.0,Bill Payment,2023,1,6,4,Large
135,757,2023-01-06 14:00:00,4121.0,Investment,2023,1,6,4,Large
136,652,2023-01-06 15:00:00,3378.0,Loan Payment,2023,1,6,4,Large
137,71,2023-01-06 16:00:00,376.0,Purchase,2023,1,6,4,Small
138,46,2023-01-06 17:00:00,2837.0,Loan Payment,2023,1,6,4,Large
139,47,2023-01-06 18:00:00,1262.0,Bill Payment,2023,1,6,4,Medium
140,591,2023-01-06 19:00:00,2497.0,Bill Payment,2023,1,6,4,Large
141,422,2023-01-06 20:00:00,4795.0,Loan Payment,2023,1,6,4,Large
142,149,2023-01-06 21:00:00,3613.0,Investment,2023,1,6,4,Large
143,910,2023-01-06 22:00:00,3531.0,Bill Payment,2023,1,6,4,Large
144,130,2023-01-06 23:00:00,4952.0,Bill Payment,2023,1,6,4,Large
145,456,2023-01-07 00:00:00,4527.0,Loan Payment,2023,1,7,5,Large
146,639,2023-01-07 01:00:00,1653.0,Investment,2023,1,7,5,Large
147,877,2023-01-07 02:00:00,1222.0,Loan Payment,2023,1,7,5,Medium
148,631,2023-01-07 03:00:00,4713.0,Loan Payment,2023,1,7,5,Large
149,966,2023-01-07 04:00:00,29.0,Investment,2023,1,7,5,Small
150,997,2023-01-07 05:00:00,685.0,Investment,2023,1,7,5,Medium
151,869,2023-01-07 06:00:00,4487.0,Purchase,2023,1,7,5,Large
152,505,2023-01-07 07:00:00,618.0,Loan Payment,2023,1,7,5,Medium
153,929,2023-01-07 08:00:00,71.0,Investment,2023,1,7,5,Small
154,774,2023-01-07 09:00:00,1275.0,Bill Payment,2023,1,7,5,Medium
155,244,2023-01-07 10:00:00,2295.0,Purchase,2023,1,7,5,Large
156,474,2023-01-07 11:00:00,1164.0,Loan Payment,2023,1,7,5,Medium
157,382,2023-01-07 12:00:00,1638.0,Investment,2023,1,7,5,Large
158,103,2023-01-07 13:00:00,1636.0,Purchase,2023,1,7,5,Large
159,489,2023-01-07 14:00:00,3726.0,Purchase,2023,1,7,5,Large
160,37,2023-01-07 15:00:00,1452.0,Bill Payment,2023,1,7,5,Medium
161,654,2023-01-07 16:00:00,1663.0,Purchase,2023,1,7,5,Large
162,549,2023-01-07 17:00:00,2512.0,Loan Payment,2023,1,7,5,Large
163,520,2023-01-07 18:00:00,3279.0,Investment,2023,1,7,5,Large
164,743,2023-01-07 19:00:00,291.0,Purchase,2023,1,7,5,Small
165,333,2023-01-07 20:00:00,4991.0,Purchase,2023,1,7,5,Large
166,397,2023-01-07 21:00:00,1034.0,Loan Payment,2023,1,7,5,Medium
167,296,2023-01-07 22:00:00,4828.0,Bill Payment,2023,1,7,5,Large
168,107,2023-01-07 23:00:00,3413.0,Bill Payment,2023,1,7,5,Large
169,860,2023-01-08 00:00:00,1245.0,Investment,2023,1,8,6,Medium
170,954,2023-01-08 01:00:00,4192.0,Loan Payment,2023,1,8,6,Large
171,530,2023-01-08 02:00:00,4770.0,Bill Payment,2023,1,8,6,Large
172,825,2023-01-08 03:00:00,4967.0,Investment,2023,1,8,6,Large
173,83,2023-01-08 04:00:00,795.0,Investment,2023,1,8,6,Medium
174,934,2023-01-08 05:00:00,3327.0,Bill Payment,2023,1,8,6,Large
175,288,2023-01-08 06:00:00,1677.0,Loan Payment,2023,1,8,6,Large
176,982,2023-01-08 07:00:00,3018.0,Purchase,2023,1,8,6,Large
177,706,2023-01-08 08:00:00,3204.0,Bill Payment,2023,1,8,6,Large
178,461,2023-01-08 09:00:00,4799.0,Purchase,2023,1,8,6,Large
179,215,2023-01-08 10:00:00,3785.0,Purchase,2023,1,8,6,Large
180,281,2023-01-08 11:00:00,2456.0,Loan Payment,2023,1,8,6,Large
181,732,2023-01-08 12:00:00,3800.0,Loan Payment,2023,1,8,6,Large
182,954,2023-01-08 13:00:00,543.0,Investment,2023,1,8,6,Medium
183,459,2023-01-08 14:00:00,411.0,Loan Payment,2023,1,8,6,Small
184,801,2023-01-08 15:00:00,3673.0,Investment,2023,1,8,6,Large
185,344,2023-01-08 16:00:00,139.0,Bill Payment,2023,1,8,6,Small
186,194,2023-01-08 17:00:00,2349.0,Purchase,2023,1,8,6,Large
187,158,2023-01-08 18:00:00,4381.0,Loan Payment,2023,1,8,6,Large
188,465,2023-01-08 19:00:00,2969.0,Bill Payment,2023,1,8,6,Large
189,104,2023-01-08 20:00:00,1868.0,Investment,2023,1,8,6,Large
190,34,2023-01-08 21:00:00,2983.0,Loan Payment,2023,1,8,6,Large
191,102,2023-01-08 22:00:00,4160.0,Purchase,2023,1,8,6,Large
192,639,2023-01-08 23:00:00,3659.0,Bill Payment,2023,1,8,6,Large
193,726,2023-01-09 00:00:00,2796.0,Loan Payment,2023,1,9,0,Large
194,325,2023-01-09 01:00:00,3107.0,Loan Payment,2023,1,9,0,Large
195,944,2023-01-09 02:00:00,3522.0,Bill Payment,2023,1,9,0,Large
196,808,2023-01-09 03:00:00,4870.0,Investment,2023,1,9,0,Large
197,691,2023-01-09 04:00:00,1230.0,Investment,2023,1,9,0,Medium
198,592,2023-01-09 05:00:00,651.0,Loan Payment,2023,1,9,0,Medium
199,141,2023-01-09 06:00:00,3324.0,Investment,2023,1,9,0,Large
200,474,2023-01-09 07:00:00,733.0,Investment,2023,1,9,0,Medium
201,31,2023-01-09 08:00:00,4907.0,Bill Payment,2023,1,9,0,Large
202,884,2023-01-09 09:00:00,747.0,Investment,2023,1,9,0,Medium
203,935,2023-01-09 10:00:00,4863.0,Investment,2023,1,9,0,Large
204,63,2023-01-09 11:00:00,1309.0,Bill Payment,2023,1,9,0,Medium
205,560,2023-01-09 12:00:00,3490.0,Loan Payment,2023,1,9,0,Large
206,87,2023-01-09 13:00:00,349.0,Loan Payment,2023,1,9,0,Small
207,304,2023-01-09 14:00:00,162.0,Bill Payment,2023,1,9,0,Small
208,61,2023-01-09 15:00:00,1431.0,Purchase,2023,1,9,0,Medium
209,396,2023-01-09 16:00:00,3061.0,Bill Payment,2023,1,9,0,Large
210,334,2023-01-09 17:00:00,436.0,Purchase,2023,1,9,0,Small
211,952,2023-01-09 18:00:00,3568.0,Investment,2023,1,9,0,Large
212,786,2023-01-09 19:00:00,1145.0,Loan Payment,2023,1,9,0,Medium
213,411,2023-01-09 20:00:00,2481.5,Purchase,2023,1,9,0,Large
214,284,2023-01-09 21:00:00,3339.0,Purchase,2023,1,9,0,Large
215,466,2023-01-09 22:00:00,959.0,Investment,2023,1,9,0,Medium
216,80,2023-01-09 23:00:00,1383.0,Loan Payment,2023,1,9,0,Medium
217,692,2023-01-10 00:00:00,966.0,Investment,2023,1,10,1,Medium
218,784,2023-01-10 01:00:00,1711.0,Loan Payment,2023,1,10,1,Large
219,77,2023-01-10 02:00:00,2951.0,Loan Payment,2023,1,10,1,Large
220,954,2023-01-10 03:00:00,2492.0,Investment,2023,1,10,1,Large
221,733,2023-01-10 04:00:00,1313.0,Purchase,2023,1,10,1,Medium
222,905,2023-01-10 05:00:00,380.0,Bill Payment,2023,1,10,1,Small
223,794,2023-01-10 06:00:00,2990.0,Loan Payment,2023,1,10,1,Large
224,540,2023-01-10 07:00:00,2306.0,Loan Payment,2023,1,10,1,Large
225,361,2023-01-10 08:00:00,4808.0,Bill Payment,2023,1,10,1,Large
226,77,2023-01-10 09:00:00,2135.0,Bill Payment,2023,1,10,1,Large
227,509,2023-01-10 10:00:00,2976.0,Investment,2023,1,10,1,Large
228,164,2023-01-10 11:00:00,4155.0,Loan Payment,2023,1,10,1,Large
229,9,2023-01-10 12:00:00,2752.0,Investment,2023,1,10,1,Large
230,175,2023-01-10 13:00:00,4031.0,Bill Payment,2023,1,10,1,Large
231,462,2023-01-10 14:00:00,2374.0,Investment,2023,1,10,1,Large
232,307,2023-01-10 15:00:00,772.0,Loan Payment,2023,1,10,1,Medium
233,588,2023-01-10 16:00:00,4072.0,Purchase,2023,1,10,1,Large
234,245,2023-01-10 17:00:00,1014.0,Purchase,2023,1,10,1,Medium
235,122,2023-01-10 18:00:00,3765.0,Loan Payment,2023,1,10,1,Large
236,185,2023-01-10 19:00:00,2856.0,Investment,2023,1,10,1,Large
237,32,2023-01-10 20:00:00,359.0,Bill Payment,2023,1,10,1,Small
238,998,2023-01-10 21:00:00,2974.0,Bill Payment,2023,1,10,1,Large
239,963,2023-01-10 22:00:00,696.0,Purchase,2023,1,10,1,Medium
240,762,2023-01-10 23:00:00,4647.0,Investment,2023,1,10,1,Large
241,569,2023-01-11 00:00:00,3136.0,Bill Payment,2023,1,11,2,Large
242,310,2023-01-11 01:00:00,4466.0,Bill Payment,2023,1,11,2,Large
243,372,2023-01-11 02:00:00,2765.0,Loan Payment,2023,1,11,2,Large
244,656,2023-01-11 03:00:00,3534.0,Investment,2023,1,11,2,Large
245,830,2023-01-11 04:00:00,3634.0,Investment,2023,1,11,2,Large
246,596,2023-01-11 05:00:00,2742.0,Bill Payment,2023,1,11,2,Large
247,992,2023-01-11 06:00:00,1703.0,Investment,2023,1,11,2,Large
248,56,2023-01-11 07:00:00,2902.0,Investment,2023,1,11,2,Large
249,791,2023-01-11 08:00:00,3821.0,Investment,2023,1,11,2,Large
250,273,2023-01-11 09:00:00,4190.0,Loan Payment,2023,1,11,2,Large
251,464,2023-01-11 10:00:00,694.0,Bill Payment,2023,1,11,2,Medium
252,678,2023-01-11 11:00:00,4350.0,Purchase,2023,1,11,2,Large
253,456,2023-01-11 12:00:00,2929.0,Investment,2023,1,11,2,Large
254,979,2023-01-11 13:00:00,2481.5,Bill Payment,2023,1,11,2,Large
255,670,2023-01-11 14:00:00,3293.0,Purchase,2023,1,11,2,Large
256,249,2023-01-11 15:00:00,4701.0,Loan Payment,2023,1,11,2,Large
257,698,2023-01-11 16:00:00,4036.0,Bill Payment,2023,1,11,2,Large
258,994,2023-01-11 17:00:00,1166.0,Loan Payment,2023,1,11,2,Medium
259,78,2023-01-11 18:00:00,3071.0,Bill Payment,2023,1,11,2,Large
260,534,2023-01-11 19:00:00,4455.0,Loan Payment,2023,1,11,2,Large
261,108,2023-01-11 20:00:00,2339.0,Bill Payment,2023,1,11,2,Large
262,273,2023-01-11 21:00:00,1302.0,Loan Payment,2023,1,11,2,Medium
263,764,2023-01-11 22:00:00,1894.0,Purchase,2023,1,11,2,Large
264,15,2023-01-11 23:00:00,1570.0,Bill Payment,2023,1,11,2,Large
265,370,2023-01-12 00:00:00,993.0,Purchase,2023,1,12,3,Medium
266,304,2023-01-12 01:00:00,2077.0,Investment,2023,1,12,3,Large
267,672,2023-01-12 02:00:00,1873.0,Purchase,2023,1,12,3,Large
268,205,2023-01-12 03:00:00,1989.0,Bill Payment,2023,1,12,3,Large
269,981,2023-01-12 04:00:00,1746.0,Purchase,2023,1,12,3,Large
270,113,2023-01-12 05:00:00,2462.0,Bill Payment,2023,1,12,3,Large
271,680,2023-01-12 06:00:00,1928.0,Loan Payment,2023,1,12,3,Large
272,865,2023-01-12 07:00:00,710.0,Investment,2023,1,12,3,Medium
273,253,2023-01-12 08:00:00,2481.5,Purchase,2023,1,12,3,Large
274,441,2023-01-12 09:00:00,2083.0,Investment,2023,1,12,3,Large
275,186,2023-01-12 10:00:00,4671.0,Purchase,2023,1,12,3,Large
276,859,2023-01-12 11:00:00,3763.0,Bill Payment,2023,1,12,3,Large
277,227,2023-01-12 12:00:00,404.0,Purchase,2023,1,12,3,Small
278,528,2023-01-12 13:00:00,1966.0,Investment,2023,1,12,3,Large
279,668,2023-01-12 14:00:00,3058.0,Purchase,2023,1,12,3,Large
280,354,2023-01-12 15:00:00,3462.0,Investment,2023,1,12,3,Large
281,623,2023-01-12 16:00:00,532.0,Investment,2023,1,12,3,Medium
282,1,2023-01-12 17:00:00,1572.0,Bill Payment,2023,1,12,3,Large
283,553,2023-01-12 18:00:00,2919.0,Loan Payment,2023,1,12,3,Large
284,560,2023-01-12 19:00:00,2859.0,Loan Payment,2023,1,12,3,Large
285,927,2023-01-12 20:00:00,559.0,Purchase,2023,1,12,3,Medium
286,420,2023-01-12 21:00:00,2481.5,Investment,2023,1,12,3,Large
287,620,2023-01-12 22:00:00,842.0,Bill Payment,2023,1,12,3,Medium
288,161,2023-01-12 23:00:00,4492.0,Loan Payment,2023,1,12,3,Large
289,161,2023-01-13 00:00:00,2481.5,Bill Payment,2023,1,13,4,Large
290,871,2023-01-13 01:00:00,295.0,Bill Payment,2023,1,13,4,Small
291,128,2023-01-13 02:00:00,2755.0,Investment,2023,1,13,4,Large
292,722,2023-01-13 03:00:00,3775.0,Purchase,2023,1,13,4,Large
293,151,2023-01-13 04:00:00,4474.0,Investment,2023,1,13,4,Large
294,444,2023-01-13 05:00:00,1455.0,Loan Payment,2023,1,13,4,Medium
295,767,2023-01-13 06:00:00,1476.0,Loan Payment,2023,1,13,4,Medium
296,471,2023-01-13 07:00:00,1786.0,Bill Payment,2023,1,13,4,Large
297,463,2023-01-13 08:00:00,3665.0,Investment,2023,1,13,4,Large
298,730,2023-01-13 09:00:00,924.0,Investment,2023,1,13,4,Medium
299,30,2023-01-13 10:00:00,297.0,Bill Payment,2023,1,13,4,Small
300,473,2023-01-13 11:00:00,4200.0,Purchase,2023,1,13,4,Large
301,557,2023-01-13 12:00:00,2098.0,Bill Payment,2023,1,13,4,Large
302,80,2023-01-13 13:00:00,4436.0,Bill Payment,2023,1,13,4,Large
303,39,2023-01-13 14:00:00,1814.0,Loan Payment,2023,1,13,4,Large
304,240,2023-01-13 15:00:00,1188.0,Investment,2023,1,13,4,Medium
305,557,2023-01-13 16:00:00,2561.0,Loan Payment,2023,1,13,4,Large
306,590,2023-01-13 17:00:00,4380.0,Bill Payment,2023,1,13,4,Large
307,337,2023-01-13 18:00:00,1598.0,Investment,2023,1,13,4,Large
308,908,2023-01-13 19:00:00,1966.0,Bill Payment,2023,1,13,4,Large
309,861,2023-01-13 20:00:00,1785.0,Bill Payment,2023,1,13,4,Large
310,800,2023-01-13 21:00:00,4872.0,Purchase,2023,1,13,4,Large
311,952,2023-01-13 22:00:00,997.0,Loan Payment,2023,1,13,4,Medium
312,280,2023-01-13 23:00:00,1213.0,Loan Payment,2023,1,13,4,Medium
313,116,2023-01-14 00:00:00,2481.5,Bill Payment,2023,1,14,5,Large
314,269,2023-01-14 01:00:00,1129.0,Purchase,2023,1,14,5,Medium
315,916,2023-01-14 02:00:00,206.0,Bill Payment,2023,1,14,5,Small
316,335,2023-01-14 03:00:00,3985.0,Bill Payment,2023,1,14,5,Large
317,312,2023-01-14 04:00:00,535.0,Bill Payment,2023,1,14,5,Medium
318,53,2023-01-14 05:00:00,4737.0,Purchase,2023,1,14,5,Large
319,68,2023-01-14 06:00:00,1420.0,Investment,2023,1,14,5,Medium
320,694,2023-01-14 07:00:00,4513.0,Purchase,2023,1,14,5,Large
321,34,2023-01-14 08:00:00,1302.0,Bill Payment,2023,1,14,5,Medium
322,796,2023-01-14 09:00:00,1204.0,Investment,2023,1,14,5,Medium
323,818,2023-01-14 10:00:00,1958.0,Bill Payment,2023,1,14,5,Large
324,386,2023-01-14 11:00:00,3665.0,Purchase,2023,1,14,5,Large
325,249,2023-01-14 12:00:00,4796.0,Purchase,2023,1,14,5,Large
326,111,2023-01-14 13:00:00,2227.0,Investment,2023,1,14,5,Large
327,94,2023-01-14 14:00:00,4264.0,Purchase,2023,1,14,5,Large
328,410,2023-01-14 15:00:00,3590.0,Bill Payment,2023,1,14,5,Large
329,179,2023-01-14 16:00:00,1027.0,Investment,2023,1,14,5,Medium
330,47,2023-01-14 17:00:00,3163.0,Loan Payment,2023,1,14,5,Large
331,794,2023-01-14 18:00:00,3600.0,Bill Payment,2023,1,14,5,Large
332,852,2023-01-14 19:00:00,4217.0,Loan Payment,2023,1,14,5,Large
333,874,2023-01-14 20:00:00,4079.0,Investment,2023,1,14,5,Large
334,604,2023-01-14 21:00:00,57.0,Investment,2023,1,14,5,Small
335,376,2023-01-14 22:00:00,3673.0,Bill Payment,2023,1,14,5,Large
336,724,2023-01-14 23:00:00,4481.0,Purchase,2023,1,14,5,Large
337,587,2023-01-15 00:00:00,837.0,Bill Payment,2023,1,15,6,Medium
338,890,2023-01-15 01:00:00,4732.0,Purchase,2023,1,15,6,Large
339,202,2023-01-15 02:00:00,2099.0,Purchase,2023,1,15,6,Large
340,445,2023-01-15 03:00:00,2066.0,Bill Payment,2023,1,15,6,Large
341,919,2023-01-15 04:00:00,828.0,Investment,2023,1,15,6,Medium
342,933,2023-01-15 05:00:00,4762.0,Bill Payment,2023,1,15,6,Large
343,297,2023-01-15 06:00:00,3994.0,Loan Payment,2023,1,15,6,Large
344,308,2023-01-15 07:00:00,3690.0,Investment,2023,1,15,6,Large
345,723,2023-01-15 08:00:00,1821.0,Purchase,2023,1,15,6,Large
346,493,2023-01-15 09:00:00,2481.5,Investment,2023,1,15,6,Large
347,338,2023-01-15 10:00:00,3124.0,Bill Payment,2023,1,15,6,Large
